,SPA,WAC,corpus,modelname,numTest,numTrain,testRole,trainRole
0,38.764044943820224,71.20954003407155,Spanish_FernAguado_Eneko_Utterance.csv,TrigramLearner,178,1422,Adult,Adult
0,54.49438202247191,78.36456558773425,Spanish_FernAguado_Eneko_Utterance.csv,AdjLearner,178,1422,Adult,Adult
0,58.42696629213483,73.08347529812606,Spanish_FernAguado_Eneko_Utterance.csv,ProminenceLearner,178,1422,Adult,Adult
0,67.97752808988764,82.11243611584327,Spanish_FernAguado_Eneko_Utterance.csv,AdjPromLearner,178,1422,Adult,Adult
0,23.13449714801002,35.49424431316535,Spanish_FernAguado_Eneko_Utterance.csv,ChanceLearner,1414,1600,Target_Child,Adult
0,29.985855728429986,38.45285149632976,Spanish_FernAguado_Eneko_Utterance.csv,BigramLearner,1414,1600,Target_Child,Adult
0,26.874115983026876,24.110671936758894,Spanish_FernAguado_Eneko_Utterance.csv,TrigramLearner,1414,1600,Target_Child,Adult
0,32.53182461103253,40.71146245059288,Spanish_FernAguado_Eneko_Utterance.csv,AdjLearner,1414,1600,Target_Child,Adult
0,21.074964639321074,35.121400338791645,Spanish_FernAguado_Eneko_Utterance.csv,ProminenceLearner,1414,1600,Target_Child,Adult
0,31.117397454031117,41.38904573687182,Spanish_FernAguado_Eneko_Utterance.csv,AdjPromLearner,1414,1600,Target_Child,Adult
0,11.89138020851348,25.424135881624547,Spanish_Koine_sus_Utterance.csv,ChanceLearner,430,3937,Adult,Adult
0,19.767441860465116,38.25809393524852,Spanish_Koine_sus_Utterance.csv,BigramLearner,430,3937,Adult,Adult
0,18.6046511627907,23.0734154126767,Spanish_Koine_sus_Utterance.csv,TrigramLearner,430,3937,Adult,Adult
0,22.790697674418606,42.59005927952576,Spanish_Koine_sus_Utterance.csv,AdjLearner,430,3937,Adult,Adult
0,18.13953488372093,34.79252165982672,Spanish_Koine_sus_Utterance.csv,ProminenceLearner,430,3937,Adult,Adult
0,24.41860465116279,39.89968080255358,Spanish_Koine_sus_Utterance.csv,AdjPromLearner,430,3937,Adult,Adult
0,24.354882919961756,32.53353909418532,Spanish_Koine_sus_Utterance.csv,ChanceLearner,3225,4367,Target_Child,Adult
0,40.093023255813954,40.88825840244435,Spanish_Koine_sus_Utterance.csv,BigramLearner,3225,4367,Target_Child,Adult
0,36.06201550387597,26.080314273243125,Spanish_Koine_sus_Utterance.csv,TrigramLearner,3225,4367,Target_Child,Adult
0,41.64341085271318,43.64906154517678,Spanish_Koine_sus_Utterance.csv,AdjLearner,3225,4367,Target_Child,Adult
0,26.852713178294575,35.09384548232213,Spanish_Koine_sus_Utterance.csv,ProminenceLearner,3225,4367,Target_Child,Adult
0,29.302325581395348,34.75556525534701,Spanish_Koine_sus_Utterance.csv,AdjPromLearner,3225,4367,Target_Child,Adult
0,14.458669305015224,29.496190452573074,Spanish_FernAguado_Julia_Utterance.csv,ChanceLearner,194,1560,Adult,Adult
0,44.845360824742265,73.6842105263158,Spanish_FernAguado_Julia_Utterance.csv,BigramLearner,194,1560,Adult,Adult
0,50.0,78.67746288798921,Spanish_FernAguado_Julia_Utterance.csv,TrigramLearner,194,1560,Adult,Adult
0,58.24742268041237,81.5114709851552,Spanish_FernAguado_Julia_Utterance.csv,AdjLearner,194,1560,Adult,Adult
0,51.54639175257732,71.52496626180837,Spanish_FernAguado_Julia_Utterance.csv,ProminenceLearner,194,1560,Adult,Adult
0,62.88659793814433,83.53576248313091,Spanish_FernAguado_Julia_Utterance.csv,AdjPromLearner,194,1560,Adult,Adult
0,17.67156458966487,30.475780051981086,Spanish_FernAguado_Julia_Utterance.csv,ChanceLearner,1878,1754,Target_Child,Adult
0,26.30457933972311,37.484662576687114,Spanish_FernAguado_Julia_Utterance.csv,BigramLearner,1878,1754,Target_Child,Adult
0,22.470713525026625,21.411042944785276,Spanish_FernAguado_Julia_Utterance.csv,TrigramLearner,1878,1754,Target_Child,Adult
0,29.179978700745473,40.736196319018404,Spanish_FernAguado_Julia_Utterance.csv,AdjLearner,1878,1754,Target_Child,Adult
0,19.914802981895633,35.76687116564417,Spanish_FernAguado_Julia_Utterance.csv,ProminenceLearner,1878,1754,Target_Child,Adult
0,28.008519701810435,41.68711656441718,Spanish_FernAguado_Julia_Utterance.csv,AdjPromLearner,1878,1754,Target_Child,Adult
0,10.0394900590308,30.326932129157647,Biling_Perez_John_Utterance.csv,ChanceLearner,137,1385,Adult,Adult
